,serial,type,units,value,time_stamp,date_time,year,epi_week,epi_day,hour,minute
14576,B0:B2:1C:61:2D:D2,CO2,ppm,5000.0,1689897120.0,20/07/2023 05:52 PM,2023,29,5,17,52
14575,B0:B2:1C:61:2D:D2,CO2,ppm,4995.0,1689918720.0,20/07/2023 11:52 PM,2023,29,5,23,52
14574,B0:B2:1C:61:2D:D2,CO2,ppm,4990.0,1689940320.0,21/07/2023 05:52 AM,2023,29,6,05,52
14573,B0:B2:1C:61:2D:D2,CO2,ppm,4985.0,1689961920.0,21/07/2023 11:52 AM,2023,29,6,11,52
14572,B0:B2:1C:61:2D:D2,CO2,ppm,4980.0,1689983520.0,21/07/2023 05:52 PM,2023,29,6,17,52
14571,B0:B2:1C:61:2D:D2,CO2,ppm,4975.0,1690005120.0,21/07/2023 11:52 PM,2023,29,6,23,52
14570,B0:B2:1C:61:2D:D2,CO2,ppm,4970.0,1690026720.0,22/07/2023 05:52 AM,2023,29,7,05,52
14569,B0:B2:1C:61:2D:D2,CO2,ppm,4965.0,1690048320.0,22/07/2023 11:52 AM,2023,29,7,11,52
14568,B0:B2:1C:61:2D:D2,CO2,ppm,4960.0,1690069920.0,22/07/2023 05:52 PM,2023,29,7,17,52
14567,B0:B2:1C:61:2D:D2,CO2,ppm,4955.0,1690091520.0,22/07/2023 11:52 PM,2023,29,7,23,52
14566,B0:B2:1C:61:2D:D2,CO2,ppm,4950.0,1690113120.0,23/07/2023 05:52 AM,2023,30,1,05,52
14565,B0:B2:1C:61:2D:D2,CO2,ppm,4945.0,1690134720.0,23/07/2023 11:52 AM,2023,30,1,11,52
14564,B0:B2:1C:61:2D:D2,CO2,ppm,4940.0,1690156320.0,23/07/2023 05:52 PM,2023,30,1,17,52
14563,B0:B2:1C:61:2D:D2,CO2,ppm,4935.0,1690177920.0,23/07/2023 11:52 PM,2023,30,1,23,52
14562,B0:B2:1C:61:2D:D2,CO2,ppm,4930.0,1690199520.0,24/07/2023 05:52 AM,2023,30,2,05,52
14561,B0:B2:1C:61:2D:D2,CO2,ppm,4925.0,1690221120.0,24/07/2023 11:52 AM,2023,30,2,11,52
14560,B0:B2:1C:61:2D:D2,CO2,ppm,4920.0,1690242720.0,24/07/2023 05:52 PM,2023,30,2,17,52
14559,B0:B2:1C:61:2D:D2,CO2,ppm,4915.0,1690264320.0,24/07/2023 11:52 PM,2023,30,2,23,52
14558,B0:B2:1C:61:2D:D2,CO2,ppm,4910.0,1690285920.0,25/07/2023 05:52 AM,2023,30,3,05,52
14557,B0:B2:1C:61:2D:D2,CO2,ppm,4905.0,1690307520.0,25/07/2023 11:52 AM,2023,30,3,11,52
14556,B0:B2:1C:61:2D:D2,CO2,ppm,4900.0,1690329120.0,25/07/2023 05:52 PM,2023,30,3,17,52
14555,B0:B2:1C:61:2D:D2,CO2,ppm,4895.0,1690350720.0,25/07/2023 11:52 PM,2023,30,3,23,52
14554,B0:B2:1C:61:2D:D2,CO2,ppm,4890.0,1690372320.0,26/07/2023 05:52 AM,2023,30,4,05,52
14553,B0:B2:1C:61:2D:D2,CO2,ppm,4885.0,1690393920.0,26/07/2023 11:52 AM,2023,30,4,11,52
14552,B0:B2:1C:61:2D:D2,CO2,ppm,4880.0,1690415520.0,26/07/2023 05:52 PM,2023,30,4,17,52
14551,B0:B2:1C:61:2D:D2,CO2,ppm,4875.0,1690437120.0,26/07/2023 11:52 PM,2023,30,4,23,52
14550,B0:B2:1C:61:2D:D2,CO2,ppm,4870.0,1690458720.0,27/07/2023 05:52 AM,2023,30,5,05,52
14549,B0:B2:1C:61:2D:D2,CO2,ppm,4865.0,1690480320.0,27/07/2023 11:52 AM,2023,30,5,11,52
14548,B0:B2:1C:61:2D:D2,CO2,ppm,4860.0,1690501920.0,27/07/2023 05:52 PM,2023,30,5,17,52
14547,B0:B2:1C:61:2D:D2,CO2,ppm,4855.0,1690523520.0,27/07/2023 11:52 PM,2023,30,5,23,52
14546,B0:B2:1C:61:2D:D2,CO2,ppm,4850.0,1690545120.0,28/07/2023 05:52 AM,2023,30,6,05,52
14545,B0:B2:1C:61:2D:D2,CO2,ppm,4845.0,1690566720.0,28/07/2023 11:52 AM,2023,30,6,11,52
14544,B0:B2:1C:61:2D:D2,CO2,ppm,4840.0,1690588320.0,28/07/2023 05:52 PM,2023,30,6,17,52
14543,B0:B2:1C:61:2D:D2,CO2,ppm,4835.0,1690609920.0,28/07/2023 11:52 PM,2023,30,6,23,52
14542,B0:B2:1C:61:2D:D2,CO2,ppm,4830.0,1690631520.0,29/07/2023 05:52 AM,2023,30,7,05,52
14541,B0:B2:1C:61:2D:D2,CO2,ppm,4825.0,1690653120.0,29/07/2023 11:52 AM,2023,30,7,11,52
14540,B0:B2:1C:61:2D:D2,CO2,ppm,4820.0,1690674720.0,29/07/2023 05:52 PM,2023,30,7,17,52
14539,B0:B2:1C:61:2D:D2,CO2,ppm,4815.0,1690696320.0,29/07/2023 11:52 PM,2023,30,7,23,52
14538,B0:B2:1C:61:2D:D2,CO2,ppm,4810.0,1690717920.0,30/07/2023 05:52 AM,2023,31,1,05,52
14537,B0:B2:1C:61:2D:D2,CO2,ppm,4805.0,1690739520.0,30/07/2023 11:52 AM,2023,31,1,11,52
14536,B0:B2:1C:61:2D:D2,CO2,ppm,4800.0,1690761120.0,30/07/2023 05:52 PM,2023,31,1,17,52
14535,B0:B2:1C:61:2D:D2,CO2,ppm,4795.0,1690782720.0,30/07/2023 11:52 PM,2023,31,1,23,52
14534,B0:B2:1C:61:2D:D2,CO2,ppm,4790.0,1690804320.0,31/07/2023 05:52 AM,2023,31,2,05,52
14533,B0:B2:1C:61:2D:D2,CO2,ppm,4785.0,1690825920.0,31/07/2023 11:52 AM,2023,31,2,11,52
14532,B0:B2:1C:61:2D:D2,CO2,ppm,4780.0,1690847520.0,31/07/2023 05:52 PM,2023,31,2,17,52
14531,B0:B2:1C:61:2D:D2,CO2,ppm,4775.0,1690869120.0,31/07/2023 11:52 PM,2023,31,2,23,52
14530,B0:B2:1C:61:2D:D2,CO2,ppm,4770.0,1690890720.0,01/08/2023 05:52 AM,2023,31,3,05,52
14529,B0:B2:1C:61:2D:D2,CO2,ppm,4765.0,1690912320.0,01/08/2023 11:52 AM,2023,31,3,11,52
14528,B0:B2:1C:61:2D:D2,CO2,ppm,4760.0,1690933920.0,01/08/2023 05:52 PM,2023,31,3,17,52
14527,B0:B2:1C:61:2D:D2,CO2,ppm,4755.0,1690955520.0,01/08/2023 11:52 PM,2023,31,3,23,52
14526,B0:B2:1C:61:2D:D2,CO2,ppm,4750.0,1690977120.0,02/08/2023 05:52 AM,2023,31,4,05,52
14525,B0:B2:1C:61:2D:D2,CO2,ppm,4745.0,1690998720.0,02/08/2023 11:52 AM,2023,31,4,11,52
14524,B0:B2:1C:61:2D:D2,CO2,ppm,4740.0,1691020320.0,02/08/2023 05:52 PM,2023,31,4,17,52
14523,B0:B2:1C:61:2D:D2,CO2,ppm,4735.0,1691041920.0,02/08/2023 11:52 PM,2023,31,4,23,52
14522,B0:B2:1C:61:2D:D2,CO2,ppm,4730.0,1691063520.0,03/08/2023 05:52 AM,2023,31,5,05,52
14521,B0:B2:1C:61:2D:D2,CO2,ppm,4725.0,1691085120.0,03/08/2023 11:52 AM,2023,31,5,11,52
14520,B0:B2:1C:61:2D:D2,CO2,ppm,4720.0,1691106720.0,03/08/2023 05:52 PM,2023,31,5,17,52
14519,B0:B2:1C:61:2D:D2,CO2,ppm,4715.0,1691128320.0,03/08/2023 11:52 PM,2023,31,5,23,52
14518,B0:B2:1C:61:2D:D2,CO2,ppm,4710.0,1691149920.0,04/08/2023 05:52 AM,2023,31,6,05,52
14517,B0:B2:1C:61:2D:D2,CO2,ppm,4705.0,1691171520.0,04/08/2023 11:52 AM,2023,31,6,11,52
14516,B0:B2:1C:61:2D:D2,CO2,ppm,4700.0,1691193120.0,04/08/2023 05:52 PM,2023,31,6,17,52
14515,B0:B2:1C:61:2D:D2,CO2,ppm,4695.0,1691214720.0,04/08/2023 11:52 PM,2023,31,6,23,52
14514,B0:B2:1C:61:2D:D2,CO2,ppm,4690.0,1691236320.0,05/08/2023 05:52 AM,2023,31,7,05,52
14513,B0:B2:1C:61:2D:D2,CO2,ppm,4685.0,1691257920.0,05/08/2023 11:52 AM,2023,31,7,11,52
14512,B0:B2:1C:61:2D:D2,CO2,ppm,4680.0,1691279520.0,05/08/2023 05:52 PM,2023,31,7,17,52
14511,B0:B2:1C:61:2D:D2,CO2,ppm,4675.0,1691301120.0,05/08/2023 11:52 PM,2023,31,7,23,52
14510,B0:B2:1C:61:2D:D2,CO2,ppm,4670.0,1691322720.0,06/08/2023 05:52 AM,2023,32,1,05,52
14509,B0:B2:1C:61:2D:D2,CO2,ppm,4665.0,1691344320.0,06/08/2023 11:52 AM,2023,32,1,11,52
14508,B0:B2:1C:61:2D:D2,CO2,ppm,4660.0,1691365920.0,06/08/2023 05:52 PM,2023,32,1,17,52
