,serial,type,units,value,time_stamp,date_time,year,epi_week,epi_day,hour,minute
0,B0:B2:1C:61:2F:02,CO2,ppm,442.5485714285714,1698778380.0,31/10/2023 12:53 PM,2023,44,3,12,53
1,B0:B2:1C:61:2F:02,CO2,ppm,461.5690000000001,1698778980.0,31/10/2023 01:03 PM,2023,44,3,13,03
2,B0:B2:1C:61:2F:02,CO2,ppm,542.0109090909092,1698779580.0,31/10/2023 01:13 PM,2023,44,3,13,13
3,B0:B2:1C:61:2F:02,CO2,ppm,531.694,1698780180.0,31/10/2023 01:23 PM,2023,44,3,13,23
4,B0:B2:1C:61:2F:02,CO2,ppm,483.72999999999996,1698780780.0,31/10/2023 01:33 PM,2023,44,3,13,33
5,B0:B2:1C:61:2F:02,CO2,ppm,480.7099999999999,1698781320.0,31/10/2023 01:42 PM,2023,44,3,13,42
6,B0:B2:1C:61:2F:02,CO2,ppm,474.6845454545455,1698781980.0,31/10/2023 01:53 PM,2023,44,3,13,53
7,B0:B2:1C:61:2F:02,CO2,ppm,455.389,1698782520.0,31/10/2023 02:02 PM,2023,44,3,14,02
8,B0:B2:1C:61:2F:02,CO2,ppm,438.85727272727274,1698783180.0,31/10/2023 02:13 PM,2023,44,3,14,13
9,B0:B2:1C:61:2F:02,CO2,ppm,433.50300000000004,1698783720.0,31/10/2023 02:22 PM,2023,44,3,14,22
10,B0:B2:1C:61:2F:02,CO2,ppm,430.2063636363637,1698784380.0,31/10/2023 02:33 PM,2023,44,3,14,33
11,B0:B2:1C:61:2F:02,CO2,ppm,431.760909090909,1698784980.0,31/10/2023 02:43 PM,2023,44,3,14,43
12,B0:B2:1C:61:2F:02,CO2,ppm,427.86,1698785580.0,31/10/2023 02:53 PM,2023,44,3,14,53
13,B0:B2:1C:61:2F:02,CO2,ppm,430.36363636363643,1698786180.0,31/10/2023 03:03 PM,2023,44,3,15,03
14,B0:B2:1C:61:2F:02,CO2,ppm,424.858,1698786780.0,31/10/2023 03:13 PM,2023,44,3,15,13
15,B0:B2:1C:61:2F:02,CO2,ppm,425.9863636363636,1698787380.0,31/10/2023 03:23 PM,2023,44,3,15,23
16,B0:B2:1C:61:2F:02,CO2,ppm,424.538,1698787980.0,31/10/2023 03:33 PM,2023,44,3,15,33
17,B0:B2:1C:61:2F:02,CO2,ppm,423.05818181818177,1698788580.0,31/10/2023 03:43 PM,2023,44,3,15,43
18,B0:B2:1C:61:2F:02,CO2,ppm,427.81100000000004,1698789180.0,31/10/2023 03:53 PM,2023,44,3,15,53
19,B0:B2:1C:61:2F:02,CO2,ppm,426.86909090909097,1698789780.0,31/10/2023 04:03 PM,2023,44,3,16,03
20,B0:B2:1C:61:2F:02,CO2,ppm,419.255,1698790320.0,31/10/2023 04:12 PM,2023,44,3,16,12
21,B0:B2:1C:61:2F:02,CO2,ppm,418.069090909091,1698790980.0,31/10/2023 04:23 PM,2023,44,3,16,23
22,B0:B2:1C:61:2F:02,CO2,ppm,419.521,1698791520.0,31/10/2023 04:32 PM,2023,44,3,16,32
