,0
0,11.01
1,11.01
2,11.01
3,11.01
4,11.01
5,11.01
6,11.01
7,11.01
8,11.01
9,11.01
10,11.01
11,11.01
12,11.01
13,11.01
14,11.01
15,11.01
16,11.01
17,11.01
18,11.01
19,11.01
20,11.01
21,11.01
22,11.01
23,11.01
24,11.01
25,11.01
26,11.01
27,11.01
28,11.01
29,11.01
30,11.01
31,11.01
32,11.01
33,11.01
34,11.01
35,11.01
36,11.01
37,11.01
38,11.01
39,11.01
40,11.01
41,11.01
42,11.01
43,11.01
44,11.01
45,11.01
46,11.01
47,11.01
48,11.01
49,11.01
50,11.01
51,11.01
52,11.01
53,11.01
54,11.01
55,11.01
56,11.01
57,11.01
58,11.01
59,11.01
60,11.01
61,11.01
62,11.01
63,11.01
64,11.01
65,11.01
66,11.01
67,11.01
68,11.01
69,11.01
70,11.01
71,11.01
72,11.01
73,11.01
74,11.01
75,11.01
76,11.01
77,11.01
78,11.01
79,11.01
80,11.01
81,11.01
82,11.01
83,11.01
84,11.01
85,11.01
86,11.01
87,11.01
88,11.01
89,11.01
90,11.01
91,11.01
92,11.01
93,11.01
94,11.01
95,11.01
96,11.01
97,11.01
98,11.01
99,11.01
100,11.01
101,11.01
102,11.01
103,11.01
104,11.01
105,11.01
106,11.01
107,11.01
108,11.01
109,11.01
110,11.01
111,11.01
112,11.01
113,11.01
114,11.01
115,11.01
116,11.01
117,11.01
118,11.01
119,11.01
120,11.01
121,11.01
122,11.01
123,11.01
124,11.01
125,11.01
126,11.01
127,11.01
128,11.01
129,11.01
130,11.01
131,11.01
132,11.01
133,11.01
134,11.01
135,11.01
136,11.01
137,11.01
138,11.01
139,11.01
140,11.01
141,11.01
142,11.01
143,11.01
144,11.01
145,11.01
146,11.01
147,11.01
148,11.01
149,11.01
150,11.01
151,11.01
152,11.01
153,11.01
154,11.01
155,11.01
156,11.01
157,11.01
158,11.01
159,11.01
160,11.01
161,11.01
162,11.01
163,11.01
164,11.01
165,11.01
166,11.01
167,11.01
168,11.01
169,11.01
170,11.01
171,11.01
172,11.01
173,11.01
174,11.01
175,11.01
176,11.01
177,11.01
178,11.01
179,11.01
180,11.01
181,11.01
182,11.01
183,11.01
184,11.01
185,11.01
186,11.01
187,11.01
188,11.01
189,11.01
190,11.01
191,11.01
192,11.01
193,11.01
194,11.01
195,11.01
196,11.01
197,11.01
198,11.01
199,11.01
200,11.01
201,11.01
202,11.01
203,11.01
204,11.01
205,11.01
206,11.01
207,11.01
208,11.01
209,11.01
210,11.01
211,11.01
212,11.01
213,11.01
214,11.01
215,11.01
216,11.01
217,11.01
218,11.01
219,11.01
220,11.01
221,11.01
222,11.01
223,11.01
224,11.01
225,11.01
226,11.01
227,11.01
228,11.01
229,11.01
230,11.01
231,11.01
232,11.01
233,11.01
234,11.01
235,11.01
236,11.01
237,11.01
238,11.01
239,11.01
240,11.01
241,11.01
242,11.01
243,11.01
244,11.01
245,11.01
246,11.01
247,11.01
248,11.01
249,11.01
250,11.01
251,11.01
