,0
0,716.66
1,716.66
2,716.66
3,716.66
4,716.66
5,716.66
6,716.66
7,716.66
8,716.66
9,716.66
10,716.66
11,716.66
12,716.66
13,716.66
14,716.66
15,716.66
16,716.66
17,716.66
18,716.66
19,716.66
20,716.66
21,716.66
22,716.66
23,716.66
24,716.66
25,716.66
26,716.66
27,716.66
28,716.66
29,716.66
30,716.66
31,716.66
32,716.66
33,716.66
34,716.66
35,716.66
36,716.66
37,716.66
38,716.66
39,716.66
40,716.66
41,716.66
42,716.66
43,716.66
44,716.66
45,716.66
46,716.66
47,716.66
48,716.66
49,716.66
50,716.66
51,716.66
52,716.66
53,716.66
54,716.66
55,716.66
56,716.66
57,716.66
58,716.66
59,716.66
60,716.66
61,716.66
62,716.66
63,716.66
64,716.66
65,716.66
66,716.66
67,716.66
68,716.66
69,716.66
70,716.66
71,716.66
72,716.66
73,716.66
74,716.66
75,716.66
76,716.66
77,716.66
78,716.66
79,716.66
80,716.66
81,716.66
82,716.66
83,716.66
84,716.66
85,716.66
86,716.66
87,716.66
88,716.66
89,716.66
90,716.66
91,716.66
92,716.66
93,716.66
94,716.66
95,716.66
96,716.66
97,716.66
98,716.66
99,716.66
100,716.66
101,716.66
102,716.66
103,716.66
104,716.66
105,716.66
106,716.66
107,716.66
108,716.66
109,716.66
110,716.66
111,716.66
112,716.66
113,716.66
114,716.66
115,716.66
116,716.66
117,716.66
118,716.66
119,716.66
120,716.66
121,716.66
122,716.66
123,716.66
124,716.66
125,716.66
126,716.66
127,716.66
128,716.66
129,716.66
130,716.66
131,716.66
132,716.66
133,716.66
134,716.66
135,716.66
136,716.66
137,716.66
138,716.66
139,716.66
140,716.66
141,716.66
142,716.66
143,716.66
144,716.66
145,716.66
146,716.66
147,716.66
148,716.66
149,716.66
150,716.66
151,716.66
152,716.66
153,716.66
154,716.66
155,716.66
156,716.66
157,716.66
158,716.66
159,716.66
160,716.66
161,716.66
162,716.66
163,716.66
164,716.66
165,716.66
166,716.66
167,716.66
168,716.66
169,716.66
170,716.66
171,716.66
172,716.66
173,716.66
174,716.66
175,716.66
176,716.66
177,716.66
178,716.66
179,716.66
180,716.66
181,716.66
182,716.66
183,716.66
184,716.66
185,716.66
186,716.66
187,716.66
188,716.66
189,716.66
190,716.66
191,716.66
192,716.66
193,716.66
194,716.66
195,716.66
196,716.66
197,716.66
198,716.66
199,716.66
200,716.66
201,716.66
202,716.66
203,716.66
204,716.66
205,716.66
206,716.66
207,716.66
208,716.66
209,716.66
210,716.66
211,716.66
212,716.66
213,716.66
214,716.66
215,716.66
216,716.66
217,716.66
218,716.66
219,716.66
220,716.66
221,716.66
222,716.66
223,716.66
224,716.66
225,716.66
226,716.66
227,716.66
228,716.66
229,716.66
230,716.66
231,716.66
232,716.66
233,716.66
234,716.66
235,716.66
236,716.66
237,716.66
238,716.66
239,716.66
240,716.66
241,716.66
242,716.66
243,716.66
244,716.66
245,716.66
246,716.66
247,716.66
248,716.66
249,716.66
250,716.66
251,716.66
252,716.66
253,716.66
254,716.66
255,716.66
256,716.66
257,716.66
258,716.66
259,716.66
260,716.66
261,716.66
262,716.66
263,716.66
264,716.66
265,716.66
266,716.66
267,716.66
268,716.66
269,716.66
270,716.66
271,716.66
272,716.66
273,716.66
274,716.66
275,716.66
276,716.66
277,716.66
278,716.66
279,716.66
280,716.66
281,716.66
282,716.66
283,716.66
284,716.66
285,716.66
286,716.66
287,716.66
288,716.66
289,716.66
290,716.66
291,716.66
292,716.66
293,716.66
294,716.66
295,716.66
296,716.66
297,716.66
298,716.66
299,716.66
300,716.66
301,716.66
302,716.66
303,716.66
304,716.66
305,716.66
306,716.66
307,716.66
308,716.66
309,716.66
310,716.66
311,716.66
312,716.66
313,716.66
314,716.66
315,716.66
316,716.66
317,716.66
318,716.66
319,716.66
320,716.66
321,716.66
322,716.66
323,716.66
324,716.66
325,716.66
326,716.66
327,716.66
328,716.66
329,716.66
330,716.66
331,716.66
332,716.66
333,716.66
334,716.66
335,716.66
336,716.66
337,716.66
338,716.66
339,716.66
340,716.66
341,716.66
342,716.66
343,716.66
344,716.66
345,716.66
346,716.66
347,716.66
348,716.66
349,716.66
350,716.66
351,716.66
352,716.66
353,716.66
354,716.66
355,716.66
356,716.66
357,716.66
358,716.66
359,716.66
360,716.66
361,716.66
362,716.66
363,716.66
364,716.66
365,716.66
366,716.66
367,716.66
368,716.66
369,716.66
370,716.66
371,716.66
372,716.66
373,716.66
374,716.66
375,716.66
