,0
0,32.52
1,32.52
2,32.52
3,32.52
4,32.52
5,32.52
6,32.52
7,32.52
8,32.52
9,32.52
10,32.52
11,32.52
12,32.52
13,32.52
14,32.52
15,32.52
16,32.52
17,32.52
18,32.52
19,32.52
20,32.52
21,32.52
22,32.52
23,32.52
24,32.52
25,32.52
26,32.52
27,32.52
28,32.52
29,32.52
30,32.52
31,32.52
32,32.52
33,32.52
34,32.52
35,32.52
36,32.52
37,32.52
38,32.52
39,32.52
40,32.52
41,32.52
42,32.52
43,32.52
44,32.52
45,32.52
46,32.52
47,32.52
48,32.52
49,32.52
50,32.52
51,32.52
52,32.52
53,32.52
54,32.52
55,32.52
56,32.52
57,32.52
58,32.52
59,32.52
60,32.52
61,32.52
62,32.52
63,32.52
64,32.52
65,32.52
66,32.52
67,32.52
68,32.52
69,32.52
70,32.52
71,32.52
72,32.52
73,32.52
74,32.52
75,32.52
76,32.52
77,32.52
78,32.52
79,32.52
80,32.52
81,32.52
82,32.52
83,32.52
84,32.52
85,32.52
86,32.52
87,32.52
88,32.52
89,32.52
90,32.52
91,32.52
92,32.52
93,32.52
94,32.52
95,32.52
96,32.52
97,32.52
98,32.52
99,32.52
100,32.52
101,32.52
102,32.52
103,32.52
104,32.52
105,32.52
106,32.52
107,32.52
108,32.52
109,32.52
110,32.52
111,32.52
112,32.52
113,32.52
114,32.52
115,32.52
116,32.52
117,32.52
118,32.52
119,32.52
120,32.52
121,32.52
122,32.52
123,32.52
124,32.52
125,32.52
126,32.52
127,32.52
128,32.52
129,32.52
130,32.52
131,32.52
132,32.52
133,32.52
134,32.52
135,32.52
136,32.52
137,32.52
138,32.52
139,32.52
140,32.52
141,32.52
142,32.52
143,32.52
144,32.52
145,32.52
146,32.52
147,32.52
148,32.52
149,32.52
150,32.52
151,32.52
152,32.52
153,32.52
154,32.52
155,32.52
156,32.52
157,32.52
158,32.52
159,32.52
160,32.52
161,32.52
162,32.52
163,32.52
164,32.52
165,32.52
166,32.52
167,32.52
168,32.52
169,32.52
170,32.52
171,32.52
172,32.52
173,32.52
174,32.52
175,32.52
176,32.52
177,32.52
178,32.52
179,32.52
180,32.52
181,32.52
182,32.52
183,32.52
184,32.52
185,32.52
186,32.52
187,32.52
188,32.52
189,32.52
190,32.52
191,32.52
192,32.52
193,32.52
194,32.52
195,32.52
196,32.52
197,32.52
198,32.52
199,32.52
200,32.52
201,32.52
202,32.52
203,32.52
204,32.52
205,32.52
206,32.52
207,32.52
208,32.52
209,32.52
210,32.52
211,32.52
212,32.52
213,32.52
214,32.52
215,32.52
216,32.52
217,32.52
218,32.52
219,32.52
220,32.52
221,32.52
222,32.52
223,32.52
224,32.52
225,32.52
226,32.52
227,32.52
228,32.52
229,32.52
230,32.52
231,32.52
232,32.52
233,32.52
234,32.52
235,32.52
236,32.52
237,32.52
238,32.52
239,32.52
240,32.52
241,32.52
242,32.52
243,32.52
244,32.52
245,32.52
246,32.52
247,32.52
248,32.52
249,32.52
250,32.52
251,32.52
252,32.52
253,32.52
254,32.52
255,32.52
256,32.52
257,32.52
258,32.52
259,32.52
260,32.52
261,32.52
262,32.52
263,32.52
264,32.52
265,32.52
266,32.52
267,32.52
268,32.52
269,32.52
270,32.52
271,32.52
272,32.52
273,32.52
274,32.52
275,32.52
276,32.52
277,32.52
278,32.52
279,32.52
280,32.52
281,32.52
282,32.52
283,32.52
284,32.52
285,32.52
286,32.52
287,32.52
288,32.52
289,32.52
290,32.52
291,32.52
292,32.52
293,32.52
294,32.52
295,32.52
296,32.52
297,32.52
298,32.52
299,32.52
300,32.52
301,32.52
302,32.52
303,32.52
304,32.52
305,32.52
306,32.52
307,32.52
308,32.52
309,32.52
310,32.52
311,32.52
312,32.52
313,32.52
314,32.52
315,32.52
316,32.52
317,32.52
318,32.52
319,32.52
320,32.52
321,32.52
322,32.52
323,32.52
324,32.52
325,32.52
326,32.52
327,32.52
328,32.52
329,32.52
330,32.52
331,32.52
332,32.52
333,32.52
334,32.52
335,32.52
336,32.52
337,32.52
338,32.52
339,32.52
340,32.52
341,32.52
342,32.52
343,32.52
344,32.52
345,32.52
346,32.52
347,32.52
348,32.52
349,32.52
350,32.52
351,32.52
352,32.52
353,32.52
354,32.52
355,32.52
356,32.52
357,32.52
358,32.52
359,32.52
360,32.52
361,32.52
362,32.52
363,32.52
364,32.52
365,32.52
366,32.52
367,32.52
368,32.52
369,32.52
370,32.52
371,32.52
372,32.52
373,32.52
374,32.52
375,32.52
376,32.52
377,32.52
378,32.52
379,32.52
380,32.52
381,32.52
382,32.52
383,32.52
384,32.52
385,32.52
386,32.52
387,32.52
388,32.52
389,32.52
390,32.52
391,32.52
392,32.52
393,32.52
394,32.52
395,32.52
396,32.52
397,32.52
398,32.52
399,32.52
400,32.52
401,32.52
402,32.52
403,32.52
404,32.52
405,32.52
406,32.52
407,32.52
408,32.52
409,32.52
410,32.52
411,32.52
412,32.52
