,serial,type,units,value,time_stamp,date_time,year,epi_week,epi_day,hour,minute
0,D4:D4:DA:5C:C4:DA,Humedad,%,36.4,1700674440.0,22/11/2023 05:34 PM,2023,47,4,17,34
1,D4:D4:DA:5C:C4:DA,Humedad,%,36.08,1700674500.0,22/11/2023 05:35 PM,2023,47,4,17,35
2,D4:D4:DA:5C:C4:DA,Humedad,%,34.730000000000004,1700674560.0,22/11/2023 05:36 PM,2023,47,4,17,36
3,D4:D4:DA:5C:C4:DA,Humedad,%,34.504999999999995,1700674620.0,22/11/2023 05:37 PM,2023,47,4,17,37
4,D4:D4:DA:5C:C4:DA,Humedad,%,34.495,1700674680.0,22/11/2023 05:38 PM,2023,47,4,17,38
5,D4:D4:DA:5C:C4:DA,Humedad,%,34.435,1700674680.0,22/11/2023 05:38 PM,2023,47,4,17,38
6,D4:D4:DA:5C:C4:DA,Humedad,%,34.385,1700674740.0,22/11/2023 05:39 PM,2023,47,4,17,39
7,D4:D4:DA:5C:C4:DA,Humedad,%,21.720909090909092,1707750540.0,12/02/2024 03:09 PM,2024,7,2,15,09
8,D4:D4:DA:5C:C4:DA,Humedad,%,20.10666666666667,1707751140.0,12/02/2024 03:19 PM,2024,7,2,15,19
9,D4:D4:DA:5C:C4:DA,Humedad,%,20.22083333333333,1707751740.0,12/02/2024 03:29 PM,2024,7,2,15,29
10,D4:D4:DA:5C:C4:DA,Humedad,%,20.443636363636365,1707752340.0,12/02/2024 03:39 PM,2024,7,2,15,39
11,D4:D4:DA:5C:C4:DA,Humedad,%,18.735,1707752940.0,12/02/2024 03:49 PM,2024,7,2,15,49
12,D4:D4:DA:5C:C4:DA,Humedad,%,18.85,1707753540.0,12/02/2024 03:59 PM,2024,7,2,15,59
13,D4:D4:DA:5C:C4:DA,Humedad,%,20.347272727272728,1707754140.0,12/02/2024 04:09 PM,2024,7,2,16,09
14,D4:D4:DA:5C:C4:DA,Humedad,%,21.796666666666667,1707754740.0,12/02/2024 04:19 PM,2024,7,2,16,19
15,D4:D4:DA:5C:C4:DA,Humedad,%,22.870833333333337,1707755340.0,12/02/2024 04:29 PM,2024,7,2,16,29
16,D4:D4:DA:5C:C4:DA,Humedad,%,23.65181818181818,1707755940.0,12/02/2024 04:39 PM,2024,7,2,16,39
17,D4:D4:DA:5C:C4:DA,Humedad,%,24.43916666666667,1707756540.0,12/02/2024 04:49 PM,2024,7,2,16,49
18,D4:D4:DA:5C:C4:DA,Humedad,%,25.896666666666665,1707757140.0,12/02/2024 04:59 PM,2024,7,2,16,59
19,D4:D4:DA:5C:C4:DA,Humedad,%,25.2,1707757740.0,12/02/2024 05:09 PM,2024,7,2,17,09
20,D4:D4:DA:5C:C4:DA,Humedad,%,22.243333333333336,1707758340.0,12/02/2024 05:19 PM,2024,7,2,17,19
