,serial,type,units,value,time_stamp,date_time,year,epi_week,epi_day,hour,minute
0,D4:D4:DA:5C:C7:0A,Humedad,%,35.013999999999996,1698756780.0,31/10/2023 12:53 PM,2023,44,3,12,53
1,D4:D4:DA:5C:C7:0A,Humedad,%,32.929,1698757380.0,31/10/2023 01:03 PM,2023,44,3,13,03
2,D4:D4:DA:5C:C7:0A,Humedad,%,30.855,1698757980.0,31/10/2023 01:13 PM,2023,44,3,13,13
3,D4:D4:DA:5C:C7:0A,Humedad,%,29.473000000000003,1698758580.0,31/10/2023 01:23 PM,2023,44,3,13,23
4,D4:D4:DA:5C:C7:0A,Humedad,%,29.788000000000004,1698759180.0,31/10/2023 01:33 PM,2023,44,3,13,33
5,D4:D4:DA:5C:C7:0A,Humedad,%,29.673999999999996,1698759780.0,31/10/2023 01:43 PM,2023,44,3,13,43
6,D4:D4:DA:5C:C7:0A,Humedad,%,30.802999999999997,1698760380.0,31/10/2023 01:53 PM,2023,44,3,13,53
7,D4:D4:DA:5C:C7:0A,Humedad,%,30.978999999999996,1698760980.0,31/10/2023 02:03 PM,2023,44,3,14,03
8,D4:D4:DA:5C:C7:0A,Humedad,%,29.318,1698761580.0,31/10/2023 02:13 PM,2023,44,3,14,13
9,D4:D4:DA:5C:C7:0A,Humedad,%,28.433,1698762180.0,31/10/2023 02:23 PM,2023,44,3,14,23
10,D4:D4:DA:5C:C7:0A,Humedad,%,27.905,1698762780.0,31/10/2023 02:33 PM,2023,44,3,14,33
11,D4:D4:DA:5C:C7:0A,Humedad,%,27.644,1698763380.0,31/10/2023 02:43 PM,2023,44,3,14,43
12,D4:D4:DA:5C:C7:0A,Humedad,%,27.451999999999998,1698763920.0,31/10/2023 02:52 PM,2023,44,3,14,52
13,D4:D4:DA:5C:C7:0A,Humedad,%,27.3,1698764520.0,31/10/2023 03:02 PM,2023,44,3,15,02
14,D4:D4:DA:5C:C7:0A,Humedad,%,27.117999999999995,1698765120.0,31/10/2023 03:12 PM,2023,44,3,15,12
15,D4:D4:DA:5C:C7:0A,Humedad,%,26.9,1698765720.0,31/10/2023 03:22 PM,2023,44,3,15,22
16,D4:D4:DA:5C:C7:0A,Humedad,%,26.772000000000002,1698766320.0,31/10/2023 03:32 PM,2023,44,3,15,32
17,D4:D4:DA:5C:C7:0A,Humedad,%,26.766,1698766920.0,31/10/2023 03:42 PM,2023,44,3,15,42
18,D4:D4:DA:5C:C7:0A,Humedad,%,26.860000000000003,1698767520.0,31/10/2023 03:52 PM,2023,44,3,15,52
19,D4:D4:DA:5C:C7:0A,Humedad,%,26.920000000000005,1698768120.0,31/10/2023 04:02 PM,2023,44,3,16,02
20,D4:D4:DA:5C:C7:0A,Humedad,%,26.851999999999997,1698768720.0,31/10/2023 04:12 PM,2023,44,3,16,12
21,D4:D4:DA:5C:C7:0A,Humedad,%,26.98,1698769320.0,31/10/2023 04:22 PM,2023,44,3,16,22
22,D4:D4:DA:5C:C7:0A,Humedad,%,27.012999999999998,1698769920.0,31/10/2023 04:32 PM,2023,44,3,16,32
23,D4:D4:DA:5C:C7:0A,Humedad,%,27.158000000000005,1698770520.0,31/10/2023 04:42 PM,2023,44,3,16,42
24,D4:D4:DA:5C:C7:0A,Humedad,%,27.242000000000008,1698771120.0,31/10/2023 04:52 PM,2023,44,3,16,52
25,D4:D4:DA:5C:C7:0A,Humedad,%,27.512000000000008,1698771720.0,31/10/2023 05:02 PM,2023,44,3,17,02
26,D4:D4:DA:5C:C7:0A,Humedad,%,27.613,1698772320.0,31/10/2023 05:12 PM,2023,44,3,17,12
27,D4:D4:DA:5C:C7:0A,Humedad,%,27.65,1698772920.0,31/10/2023 05:22 PM,2023,44,3,17,22
28,D4:D4:DA:5C:C7:0A,Humedad,%,27.732,1698773520.0,31/10/2023 05:32 PM,2023,44,3,17,32
29,D4:D4:DA:5C:C7:0A,Humedad,%,27.988,1698774120.0,31/10/2023 05:42 PM,2023,44,3,17,42
